Alien Biology & Evolution,Which gas could indicate alien respiration?,Carbon dioxide,Oxygen,Ammonia,Methane,2
Alien Biology & Evolution,What is bioluminescence?,Alien intelligence,Glow from life forms,Artificial gravity,Alien language,2
Alien Biology & Evolution,Which planet's moon might have an alien ecosystem?,Io,Ganymede,Titan,Mercury,3
Alien Biology & Evolution,What might alien photosynthesis use instead of sunlight?,Ultraviolet light,Radio signals,Black hole radiation,Chemical energy,4
Alien Biology & Evolution,What could alien blood be based on?,Iron only,Sodium,Magnesium,Other metals like copper,4
Alien Biology & Evolution,Why do we assume symmetry in alien forms?,It’s aesthetic,It's common in Earth life,Easier to draw,It protects from radiation,2
Alien Biology & Evolution,What is a hive mind?,A planet-sized brain,A multi-armed alien,A group of minds acting as one,A robotic overlord,3
Alien Biology & Evolution,How might alien communication differ from ours?,Only through radio,It wouldn't,Using colors, smells, or light pulses,They speak English,3
Alien Biology & Evolution,What is a speculative sign of intelligence?,Building spaceships,Tool use,Music,All of the above,4
Alien Biology & Evolution,What might zero-gravity creatures evolve?,Wings,Propulsion methods,Thick legs,Gills,2
Alien Biology & Evolution,What would creatures on a high-gravity planet evolve?,Smaller, Stronger bodies,Long legs,Wider heads,Floatation sacks,1
Alien Biology & Evolution,Which Earth lifeform inspires alien design?,Cats,Insects,Jellyfish,Frogs,2
Alien Biology & Evolution,What is convergent evolution?,Random changes,Evolution by mutation,Different species evolving similar traits,Species going extinct,3
Alien Biology & Evolution,What is a symbiotic relationship?,Parasitism,Predation,Mutual benefit between organisms,Mating,3
Alien Biology & Evolution,What might alien ecosystems lack?,Food chains,Biodiversity,Light,Liquid medium,3
Alien Biology & Evolution,Why is carbon preferred in theoretical alien biology?,Abundant and versatile,It glows,It reacts with water,It attracts light,1
Alien Biology & Evolution,What would cold-environment aliens likely evolve?,Reflective shells,Fast metabolism,Anti-freeze biochemistry,Thin skin,3
Alien Biology & Evolution,Which alien biology concept is often used in sci-fi?,Mind control,Blue blood,Shape-shifting,All of the above,4
Alien Biology & Evolution,What is panspermia?,Alien brainwaves,Universal language,Life spreading via comets or asteroids,A type of space algae,3
Alien Biology & Evolution,How might alien reproduction differ?,Same as humans,Asexual only,Completely unknown methods,Only cloning,3
Alien Biology & Evolution,What could glowing skin in aliens indicate?,Camouflage,Attraction,Bioluminescent adaptation,Heat resistance,3
Alien Biology & Evolution,What Earth animal is often compared to potential alien designs?,Sloths,Snakes,Octopuses,Dogs,3
Alien Biology & Evolution,What would a methane-based alien breathe?,Oxygen,Carbon dioxide,Nitrogen,Methane or ammonia,4
Alien Biology & Evolution,Why might alien life not be carbon-based?,Silicon alternatives,Better vision,Sound adaptation,Magnetic senses,1
Alien Biology & Evolution,What is a megafauna alien?,Alien bacteria,Microscopic species,Large-sized life form,Space plant,3
Alien Biology & Evolution,What kind of planet might support floating alien life?,Desert planet,Gas giant,Rocky moon,Comet,2
Alien Biology & Evolution,Which of the following is a speculative alien adaptation?,Tentacles for tools,Quantum brains,Light-based communication,All of the above,4
Alien Biology & Evolution,What role could radiation play in alien evolution?,Always harmful,Provides warmth,Drives mutation and adaptation,Prevents life,3
Alien Biology & Evolution,What does “post-biological” alien mean?,Robotic or AI-based aliens,Aliens after extinction,Mutated aliens,Nano-sized aliens,1
Alien Biology & Evolution,Could alien life be non-cellular?,No,All life is cellular,Yes, if based on different chemistry,Only on Earth,Only in fiction,2
Alien Biology & Evolution,What color might alien vegetation be?,Always green,Purple,Red,Varies depending on star light,4
Alien Biology & Evolution,How might alien senses differ?,They’d see like humans,They’d be colorblind,They might detect magnetic fields or radiation,They don’t have senses,3
Alien Biology & Evolution,Could intelligent aliens evolve underwater?,No,Yes, but tool use is limited,Only if they grow legs,Only on Europa,2
Alien Biology & Evolution,Which is a sign of advanced evolution?,Large brains,Tool use,Complex language,All of the above,4
category,question,option1,option2,option3,option4,correct_answer
Galactic History & Civilizations,What is the term for a vast empire spanning multiple star systems?,Solar Empire,Galactic Empire,Planetary Federation,Stellar Union,2
Galactic History & Civilizations,What is a common theme in first contact scenarios?,Instant peace,Warfare and mistrust,Trade agreements,No communication,2
Galactic History & Civilizations,Which fictional empire is famous for its rule in space?,Roman Empire,Galactic Empire from Star Wars,Ottoman Empire,Mongol Empire,2
Galactic History & Civilizations,What is the Great Filter theory about?,Alien invasions,Barriers to advanced civilizations,Solar flares,Galaxy formation,2
Galactic History & Civilizations,What might a “Dyson Sphere” indicate?,Alien habitat,Galactic capital,Planetary defense,Ancient weapon,1
Galactic History & Civilizations,What defines a Type II civilization on the Kardashev scale?,Control of planet,Control of star,Control of galaxy,Control of universe,2
Galactic History & Civilizations,What is a “prime directive” in sci-fi?,No contact policy,Universal language,Galactic trade rule,Warp speed limit,1
Galactic History & Civilizations,Which event might cause galactic war?,Resource scarcity,Alien pandemics,Trade disputes,All of the above,4
Galactic History & Civilizations,What is a megastructure?,Large space station,A planet,A massive artificial construction,Alien warship,3
Galactic History & Civilizations,What is the Fermi Paradox?,Why haven’t we found aliens,Why stars burn bright,Why galaxies spin,Why black holes form,1
Galactic History & Civilizations,What could “star lanes” refer to?,Trade routes between stars,Paths for solar winds,Alien migration routes,Navigation stars,1
Galactic History & Civilizations,What is a space colony?,A mining station,A planet,A human settlement outside Earth,A satellite,3
Galactic History & Civilizations,What might a galactic council do?,Control star travel,Set laws for space nations,Build spaceships,Train astronauts,2
Galactic History & Civilizations,What is a common resource in space conflicts?,Water,Hydrogen fuel,Metals like titanium,All of the above,4
Galactic History & Civilizations,Which galaxy is considered a neighbor to the Milky Way?,Andromeda,Sombrero,Whirlpool,Pinwheel,1
Galactic History & Civilizations,What is a “rift war”?,War over black holes,War over star lanes,Civil war in a space station,Interstellar conflict involving wormholes,4
Galactic History & Civilizations,What role do AI civilizations play in galactic history?,Builders of empires,Opponents or allies,Observers only,Nonexistent,2
Galactic History & Civilizations,What is a “lost colony”?,A vanished space settlement,A failed space mission,A hidden asteroid,A black hole,1
Galactic History & Civilizations,What is the typical cause of collapse of space empires?,Alien invasions,Internal corruption,Resource depletion,All of the above,4
Galactic History & Civilizations,What does “terraforming” enable?,Space travel,Changing a planet to support life,Building starships,Mining asteroids,2
Galactic History & Civilizations,Who might be called the “first contact team”?,Scientists and diplomats,Warriors,Spies,Engineers,1
Galactic History & Civilizations,What is a spacefaring civilization?,One that travels in space,One that lives on Earth,One that studies stars,One that mines asteroids,1
Galactic History & Civilizations,What is the term for secret galactic wars?,Shadow wars,Light wars,Silent wars,Black wars,1
Galactic History & Civilizations,Which era marks the start of space exploration?,Industrial Age,Space Age,Galactic Age,Digital Age,2
Galactic History & Civilizations,What is the likely fate of ancient space ruins?,Rediscovery by new civilizations,Destruction,Hidden forever,Alien control,1
Galactic History & Civilizations,What might a “stellar beacon” be?,A navigational aid,A weapon,A communication device,A star,3
Galactic History & Civilizations,What is a “civilization collapse”?,"End of a galactic empire, economic or social breakdown,Environmental disaster,Alien takeover",1
Galactic History & Civilizations,What is an interstellar alliance?,Group of planets cooperating,Military group,A space pirate gang,Research lab,1
Galactic History & Civilizations,What technology is key to galactic travel?,Warp drive,Quantum computers,Antimatter reactors,All of the above,4
Galactic History & Civilizations,What is a “first contact protocol”?,Rules for meeting aliens,A space treaty,Military strategy,Language guide,1
Galactic History & Civilizations,What is a “space pirate”?,Illegal space traveler,A trader,A soldier,A diplomat,1
Galactic History & Civilizations,What could a galactic archive contain?,Historical records,Alien artifacts,Lost knowledge,All of the above,4
Galactic History & Civilizations,What is a “stargate” concept?,A portal for instant travel,Space weapon,Alien robot,A star cluster,1
Galactic History & Civilizations,What is a “civilization’s dark age”?,Technological regression,Cultural peak,A galactic holiday,Alien invasion,1
Galactic History & Civilizations,Which is a famous sci-fi space empire?,Klingon Empire,French Empire,British Empire,Roman Empire,1
Galactic History & Civilizations,What is a “galactic war”?,"Conflict spanning multiple star systems,Small battle,Political debate,Space race",1
Galactic History & Civilizations,What might cause galactic peace?,Trade agreements,Common enemy,Shared culture,All of the above,4
Galactic History & Civilizations,What is a “space relic”?,"Ancient artifact from past civilizations,New spaceship,Space debris,Alien weapon",1
Galactic History & Civilizations,How might civilizations communicate across galaxies?,Radio waves,Quantum entanglement,Physical messengers,All of the above,4
category,question,option1,option2,option3,option4,correct_answer
Space Law & Politics,What is the primary international treaty governing space?,Outer Space Treaty,Moon Agreement,Mars Treaty,Space Arms Pact,1
Space Law & Politics,What does the Outer Space Treaty prohibit?,Claiming celestial bodies as territory,Using satellites,Building space stations,Mining asteroids,1
Space Law & Politics,Which organization coordinates space activities internationally?,UN Office for Outer Space Affairs,SpaceX,NASA,ESA,1
Space Law & Politics,What is space piracy?,Stealing satellites,Illegal activities in space,Smuggling space goods,None of the above,2
Space Law & Politics,Which rights are debated for AI in space?,Voting rights,Property rights,Legal personhood,All of the above,4
Space Law & Politics,What is the Moon Agreement about?,Mining lunar resources,Protecting the Moon as the "common heritage of mankind,"Building bases on the Moon,Military use of the Moon,2
Space Law & Politics,What might a "space blockade" involve?,Preventing access to an orbital station,Blocking satellite signals,Restricting moon landings,All of the above,1
Space Law & Politics,What is "space sovereignty"?,Claiming stars as territory,Control over satellites,Control of planets or moons,Exclusive use of space resources,3
Space Law & Politics,Which is a concern of space environmental law?,Space debris,Space radiation,Alien contamination,All of the above,1
Space Law & Politics,What is the legal status of private companies in space?,No rights,Full sovereignty,Limited rights under Earth laws,No legal status,3
Space Law & Politics,What might space treaties regulate?,Weapons in orbit,Mining rights,Communication channels,All of the above,4
Space Law & Politics,What is the "Common Heritage of Mankind" principle?,Space belongs to all humanity,Only Earth governments control space,Private companies own space resources,Aliens control space,1
Space Law & Politics,What are "space traffic regulations"?,Rules for rocket launches,Orbital traffic management,Space tourism laws,Starship speed limits,2
Space Law & Politics,What is a potential issue with space mining?,Ownership rights,Environmental damage,Conflict over resources,All of the above,4
Space Law & Politics,What might "space arms control" limit?,Laser weapons,Missiles in orbit,Nuclear weapons in space,All of the above,4
Space Law & Politics,What does "non-appropriation" mean in space law?,No one can own celestial bodies,Space cannot be used for war,All countries share resources,Aliens can claim planets,1
Space Law & Politics,Who enforces space law?,UN and member states,Private companies,Military only,None,1
Space Law & Politics,What is "space diplomacy"?,Negotiating international space agreements,Trading satellites,Space tourism marketing,Space law enforcement,1
Space Law & Politics,What is a major challenge for space governance?,Multiple jurisdictions,Technological change,Enforcement difficulties,All of the above,4
Space Law & Politics,What is an asteroid "claim"?,Ownership of mining rights,Control of asteroid's orbit,Tracking an asteroid,Destroying an asteroid,1
Space Law & Politics,What is "space traffic management"?,Satellite path coordination,Rocket launch rules,Space station docking,All of the above,4
Space Law & Politics,What is a "space treaty"?,"An agreement between countries on space activities,A private contract,A patent,An alien treaty",1
Space Law & Politics,What is a “space settlement”?,"A colony in space,Spaceport,Space hotel,A scientific lab",1
Space Law & Politics,What does “jurisdiction” mean in space?,Which laws apply,Orbital mechanics,Space traffic routes,Communication protocols,1
Space Law & Politics,What is a “space license”?,Permission to launch or operate spacecraft,Patent for technology,License for alien contact,Permission for mining,1
Space Law & Politics,Why is space considered a “global commons”?,Shared by all humanity,Owned by the UN,Controlled by private companies,Unregulated,1
Space Law & Politics,What is the “registration” of space objects?,Recording satellites with international bodies,Patent filing,Legal ownership,Insurance registration,1
Space Law & Politics,What is a "space traffic collision"?,"Two satellites or objects crashing,Two planets colliding,A space war,A meteor impact",1
Space Law & Politics,What is an “anti-satellite weapon”?,"A weapon designed to disable satellites,A satellite weapon,Alien technology,A communication device",1
Space Law & Politics,What rights do astronauts have under international law?,Same as Earth citizens,Special protections,No rights,None,2
Space Law & Politics,What is the principle of “due regard” in space?,Considering other users’ activities,Due payment for resources,Respect for aliens,None,1
Space Law & Politics,What is the “peaceful use” principle in space?,No military use of space,No mining,No colonization,No satellites,1
Space Law & Politics,What might cause “space disputes”?,Resource claims,Orbital slots,Satellite interference,All of the above,4
Space Law & Politics,What is the “space debris” problem?,Accumulation of defunct satellites,Alien waste,Space mining leftovers,Asteroid belts,1
Space Law & Politics,What are “space arms treaties”?,"Agreements limiting weapons in space,Space travel agreements,Trade agreements,Communication agreements",1
Space Law & Politics,What is a “space rescue” agreement?,Helping stranded astronauts,Rescuing satellites,Alien aid protocol,Disaster relief,1
Space Law & Politics,What is the status of Mars under current space law?,Unclaimed,Owned by US,Owned by China,Alien territory,1
Space Law & Politics,What is a “space environmental impact assessment”?,Study of space effects on Earth,Analysis of space mission impacts on space environment,Alien ecosystem study,Space mining evaluation,2
Space Law & Politics,Why is space law evolving?,New technologies,Private sector growth,International conflicts,All of the above,4
category,question,option1,option2,option3,option4,correct_answer
Futuristic Weapons & Warfare,What is the primary energy source for laser weapons?,Electricity,Antimatter,Fusion,Plasma,1
Futuristic Weapons & Warfare,What is a railgun?,Magnetic projectile launcher,Plasma cannon,Energy sword,Missile system,1
Futuristic Weapons & Warfare,What advantage do mech suits provide?,Invisibility,Enhanced strength and protection,Flight,Healing powers,2
Futuristic Weapons & Warfare,What is orbital bombardment?,Attacking targets from space,Ground-based missile strike,Submarine warfare,Drone attack,1
Futuristic Weapons & Warfare,Which weapon uses concentrated plasma beams?,Plasma rifle,Laser gun,Particle cannon,Ion blaster,1
Futuristic Weapons & Warfare,What is a drone swarm?,A group of unmanned flying robots,A single giant robot,A laser system,A cybernetic organism,1
Futuristic Weapons & Warfare,What is EMP used for?,Destroying electronics,Healing wounds,Powering ships,Enhancing weapons,1
Futuristic Weapons & Warfare,Which is a potential defensive technology?,Energy shields,Stealth cloaks,Force fields,All of the above,4
Futuristic Weapons & Warfare,What is the purpose of nanoweapons?,Self-replicating weapons,Microscopic missiles,Targeted assassinations,All of the above,4
Futuristic Weapons & Warfare,What does “hypersonic” mean?,Faster than sound,Faster than light,Faster than orbit,Faster than light speed,1
Futuristic Weapons & Warfare,What type of weapon uses antimatter?,Antimatter bomb,Plasma rifle,Laser sword,Ion cannon,1
Futuristic Weapons & Warfare,What is cyber warfare?,Hacking and electronic attacks,Using robots in war,Space battles,Physical combat,1
Futuristic Weapons & Warfare,What does cloaking technology do?,Makes objects invisible,Enhances speed,Boosts shields,Disrupts communications,1
Futuristic Weapons & Warfare,What is a “mech suit”?,Powered exoskeleton,Alien armor,Spacecraft,Robot soldier,1
Futuristic Weapons & Warfare,What is a particle cannon?,Weapon firing accelerated particles,Laser weapon,Plasma gun,Missile launcher,1
Futuristic Weapons & Warfare,What are “smart missiles”?,Missiles with AI guidance,Manual missiles,Homing lasers,Plasma bolts,1
Futuristic Weapons & Warfare,What is an energy shield?,A defensive barrier made of energy,A physical shield,A type of armor,A communication device,1
Futuristic Weapons & Warfare,What is orbital defense?,Protecting planets from space attacks,Ground-based defenses,Air defense,Submarine defense,1
Futuristic Weapons & Warfare,What is a “gravity bomb”?,Weapon manipulating gravity,Explosive bomb,Nuclear bomb,Plasma bomb,1
Futuristic Weapons & Warfare,What is a “mech pilot”?,Operator of a mech suit,Pilot of a spaceship,Soldier on foot,Alien warrior,1
Futuristic Weapons & Warfare,What role do AI play in futuristic warfare?,Commanders,Combatants,Strategists,All of the above,4
Futuristic Weapons & Warfare,What is a “laser sword”?,Energy blade used in combat,Physical sword,Laser gun,Plasma cutter,1
Futuristic Weapons & Warfare,What is the main threat of space weapons?,Collateral damage,Space debris,Escalation of wars,All of the above,4
Futuristic Weapons & Warfare,What is “orbital strike”?,Attack from orbit,Attack from ground,Defense maneuver,Space defense system,1
Futuristic Weapons & Warfare,What is a “nano drone”?,Microscopic robotic drone,Small fighter,AI agent,Sensor device,1
Futuristic Weapons & Warfare,What is the use of exoskeletons in warfare?,Enhanced strength and endurance,Stealth,Flight,Healing,1
Futuristic Weapons & Warfare,What is “electronic warfare”?,Using electronics to disrupt enemies,Using laser guns,Hacking satellites,All of the above,1
Futuristic Weapons & Warfare,What is the main component of plasma weapons?,Ionized gas,Antimatter,Lasers,Metal projectiles,1
Futuristic Weapons & Warfare,What is a “force field”?,Energy barrier,Physical shield,Weapon,Communication system,1
Futuristic Weapons & Warfare,What is a “stealth suit”?,Armor that reduces visibility,Light armor,Combat suit,Flight suit,1
Futuristic Weapons & Warfare,What is a “bio-weapon”?,Weapon using biological agents,Robot soldier,Nuclear bomb,Energy weapon,1
Futuristic Weapons & Warfare,What is the advantage of AI in combat?,Faster decision making,Unbiased judgments,Remote operation,All of the above,4
Futuristic Weapons & Warfare,What is a “quantum weapon”?,Weapon using quantum mechanics,Plasma gun,Laser cannon,Nuclear bomb,1
Futuristic Weapons & Warfare,What is the risk of using antimatter weapons?,Massive explosions,Difficult to control,Radiation,All of the above,4
Futuristic Weapons & Warfare,What is a “mech suit” typically used for?,Combat,Mining,Medical aid,Exploration,1
Futuristic Weapons & Warfare,What is a “laser turret”?,Fixed-position laser defense system,Handheld weapon,Drone weapon,Spacecraft weapon,1
Futuristic Weapons & Warfare,What is “orbital warfare”?,Combat taking place in space,Ground battles,Naval combat,Air combat,1
Futuristic Weapons & Warfare,What is a “cybernetic enhancement” in warfare?,Integrating technology with soldiers,New weapon type,AI robot,Space armor,1
Futuristic Weapons & Warfare,What is a “plasma grenade”?,Explosive device using plasma,Standard grenade,Laser bomb,Antimatter bomb,1
category,question,option1,option2,option3,option4,correct_answer
Alien Languages & Communication,What is xenolinguistics?,Study of alien languages,Study of animal sounds,Study of ancient Earth languages,Study of code breaking,1
Alien Languages & Communication,What is a universal translator?,Device that translates alien languages,Code breaker,Alien dictionary,Language learning app,1
Alien Languages & Communication,Which method might aliens use to communicate?,Radio signals,Light patterns,Telepathy,All of the above,4
Alien Languages & Communication,What is the main challenge in decoding alien messages?,Lack of context,Different biology,No common language,All of the above,4
Alien Languages & Communication,What is the "WOW! Signal" related to?,Possible alien radio signal,Earthquake signal,Satellite transmission,Solar flare,1
Alien Languages & Communication,How do humans typically try to communicate with aliens?,Mathematics and patterns,Human language,Music,Visual art,1
Alien Languages & Communication,What is the purpose of the Voyager Golden Record?,Send Earth sounds and images to space,Alien communication,Satellite guide,Space navigation,1
Alien Languages & Communication,What is a “contact protocol”?,Rules for communicating with aliens,Military orders,Alien language guide,Space treaty,1
Alien Languages & Communication,What type of language might aliens use?,Mathematical,Visual,Auditory,All of the above,4
Alien Languages & Communication,What is a “linguistic universal”?,Common elements across all languages,Alien code,Earth dialect,Computer language,1
Alien Languages & Communication,What technology aids in decoding alien languages?,AI and machine learning,Radio antennas,Space telescopes,Spacecraft,1
Alien Languages & Communication,What is a cryptic signal?,An unknown or coded transmission,A clear message,A space beacon,A navigation signal,1
Alien Languages & Communication,What is “pictographic language”?,Language using pictures,Spoken language,Written language,Code language,1
Alien Languages & Communication,What might “telepathic communication” involve?,Direct thought transfer,Sound waves,Radio signals,Light pulses,1
Alien Languages & Communication,What is an “alien alphabet”?,Set of symbols used by aliens,Human alphabet,Mathematical code,Music notes,1
Alien Languages & Communication,What is “semiotics”?,Study of signs and symbols,Study of sounds,Study of languages,Study of aliens,1
Alien Languages & Communication,What is a “communication barrier” with aliens?,Different biology or culture,Distance,Technology,Language,4
Alien Languages & Communication,What role does mathematics play in alien communication?,Universal language,Alien language,Code,All of the above,1
Alien Languages & Communication,What is “signal modulation”?,Changing a signal to carry information,Noise interference,Signal loss,Space weather,1
Alien Languages & Communication,What is “pattern recognition” in decoding signals?,Finding repeated elements,Ignoring noise,Receiving signals,Translating messages,1
Alien Languages & Communication,What is a “language matrix”?,Framework for organizing language,Alien dictionary,Translation device,Code key,1
Alien Languages & Communication,What is “semantic meaning”?,Meaning of words or symbols,Sound frequency,Signal strength,Alien code,1
Alien Languages & Communication,What is a “message beacon”?,Repeating signal to attract attention,A navigation light,A weapon,A satellite,1
Alien Languages & Communication,What is “artificial language”?,"Created language for communication,Alien language,Human language,Natural language",1
Alien Languages & Communication,What is a “lexicon”?,Vocabulary of a language,Code system,Mathematical formula,Alien message,1
Alien Languages & Communication,What might “bioluminescence” in alien communication involve?,Light signals,Sound waves,Radio signals,Chemical signals,1
Alien Languages & Communication,What is “frequency hopping” in communication?,Changing frequencies to avoid interference,Fixed frequency,Antenna movement,Signal loss,1
Alien Languages & Communication,What is “contact fatigue”?,Difficulty maintaining communication,Alien attack,Signal loss,Language confusion,1
Alien Languages & Communication,What is a “linguistic alienation”?,Inability to understand alien language,Human language barrier,Communication loss,Code failure,1
Alien Languages & Communication,What might “vocalization” in aliens mean?,Sound-based communication,Visual signals,Written messages,Telepathy,1
Alien Languages & Communication,What is a “signal-to-noise ratio”?,Strength of meaningful signal compared to background noise,Signal loss,Signal delay,Message length,1
Alien Languages & Communication,What is “context” in communication?,Background information to interpret messages,Signal strength,Language code,Frequency,1
Alien Languages & Communication,What is “phonetics”?,"Study of sounds in language,Study of written language,Study of symbols,Study of codes",1
Alien Languages & Communication,What is “gesture language”?,Using body movements to communicate,Spoken language,Written language,Telepathic language,1
Alien Languages & Communication,What is the challenge with “non-linear” alien languages?,Different structure from human languages,Hard to hear,Fast speech,No alphabet,1
Alien Languages & Communication,What is a “universal code”?,"A code understood by all intelligent beings,Secret code,Military code,Computer code",1
Alien Languages & Communication,What is a “modulation scheme”?,"Method of encoding information on signals,Language system,Alien writing,Sound wave type",1
Alien Languages & Communication,What is the “SETI” project?,Search for Extraterrestrial Intelligence,Space Exploration and Technology Institute,Scientific Earth Testing Initiative,Satellite Engineering and Tracking,1
Alien Languages & Communication,What is a “binary code”?,Language using 0s and 1s,Alien language,Mathematical formula,Sound waves,1
Alien Languages & Communication,What is a “coded message”?,Message encoded to prevent easy understanding,Clear message,Signal,Beacon,1
category,question,option1,option2,option3,option4,correct_answer
Space Mythology & Religion,Which deity is often associated with the stars in ancient mythology?,Astrape,Zeus,Hera,Ares,1
Space Mythology & Religion,What does the term "space pantheon" refer to?,Collection of space-related gods,Alien species,Space colonies,Star systems,1
Space Mythology & Religion,Which ancient civilization worshipped the goddess Nut, associated with the sky?,Egyptians,Romans,Greeks,Aztecs,1
Space Mythology & Religion,What is "cosmic spirituality"?,Belief in universal interconnectedness,Scientific space study,Space travel technology,Alien worship,1
Space Mythology & Religion,What myth explains the origin of the universe?,Creation myth,Big Bang theory,Space colonization,Alien invasion,1
Space Mythology & Religion,Which symbol is commonly used to represent the universe?,Circle,Triangle,Square,Hexagon,1
Space Mythology & Religion,What is a "star cult"?,Group worshiping stars,Alien religion,Scientific society,Space explorers,1
Space Mythology & Religion,Which planet was named after the Roman god of war?,Mars,Jupiter,Saturn,Venus,1
Space Mythology & Religion,What does “astral projection” refer to?,Out-of-body experience,Space travel,Time travel,Communication with aliens,1
Space Mythology & Religion,Which religion includes belief in celestial beings?,Zoroastrianism,Hinduism,Christianity,Islam,1
Space Mythology & Religion,What is a “space shrine”?,Sacred place in space or on other planets,Space station,Alien temple,Space museum,1
Space Mythology & Religion,What does “cosmology” study?,Origins and structure of the universe,Aliens,Space travel,Space law,1
Space Mythology & Religion,What is “stellar worship”?,Reverence for stars,Space science,Space travel,Space law,1
Space Mythology & Religion,What mythical creature is often linked to stars?,Dragon,Phoenix,Griffin,Unicorn,1
Space Mythology & Religion,What is “astrotheology”?,Study of gods related to stars,Study of alien gods,Study of space travel,Study of space law,1
Space Mythology & Religion,What is the “Milky Way” in mythology?,Pathway of souls,Galaxy,Star cluster,Space station,1
Space Mythology & Religion,Which space myth involves a “celestial ladder”?,Jacob’s Ladder,Star Bridge,Space Elevator,Alien portal,1
Space Mythology & Religion,What is a “cosmic ritual”?,Ceremony related to stars and universe,Alien greeting,Scientific experiment,Space treaty,1
Space Mythology & Religion,Which religion views the cosmos as a living entity?,Animism,Buddhism,Christianity,Islam,1
Space Mythology & Religion,What is “sacred astronomy”?,Study of celestial phenomena in religious contexts,Space navigation,Astrophysics,Alien study,1
Space Mythology & Religion,What is a “star oracle”?,Device or person predicting future based on stars,Alien technology,Spacecraft,Science tool,1
Space Mythology & Religion,What celestial event is often considered a spiritual sign?,Eclipse,Comet,Supernova,All of the above,4
Space Mythology & Religion,What is “space mysticism”?,Spiritual experiences related to space,Science of space,Alien technology,Space travel,1
Space Mythology & Religion,What does “planetary consciousness” mean?,Awareness of planets’ influence,Alien mind control,Spacecraft AI,Galactic politics,1
Space Mythology & Religion,What is a “cosmic deity”?,God or goddess representing universe or stars,Alien ruler,Space explorer,Space scientist,1
Space Mythology & Religion,What is “stellar mythology”?,Myths about stars and constellations,Space laws,Alien languages,Space travel,1
Space Mythology & Religion,What is a “celestial being”?,Spirit or entity from space,Alien species,Human astronaut,Robot,1
Space Mythology & Religion,Which planet is associated with love and beauty in mythology?,Venus,Mars,Jupiter,Saturn,1
Space Mythology & Religion,What is a “space pilgrimage”?,Journey to a sacred space location,Space mission,Alien contact,Space tourism,1
Space Mythology & Religion,What does “lunar worship” involve?,Reverence of the Moon,Space stations,Space suits,Starships,1
Space Mythology & Religion,What is “astrognosy”?,Knowledge of stars in spiritual context,Astronomy,Astrophysics,Alien study,1
Space Mythology & Religion,What is “cosmic balance” in mythology?,Harmony between universe forces,Space travel laws,Alien politics,Space technology,1
Space Mythology & Religion,What is a “star temple”?,Place of worship related to stars,Space observatory,Space station,Alien base,1
Space Mythology & Religion,Which element is often sacred in space mythologies?,Light,Water,Fire,Earth,1
Space Mythology & Religion,What is “space shamanism”?,Spiritual practice related to space experiences,Science of space,Alien technology,Space law,1
Space Mythology & Religion,What does “planetary guardianship” mean?,Protecting planets spiritually and physically,Alien invasion,Space mining,Space travel,1
Space Mythology & Religion,What is “cosmic destiny”?,Belief in fate controlled by stars and universe,Science fact,Alien plan,Space mission,1
Space Mythology & Religion,What is a “nebula” in mythology?,Celestial cloud often symbolizing mystery,Astronomical cloud,Space station,Alien habitat,1
Space Mythology & Religion,What is “stellar fate”?,Destiny tied to stars,Alien future,Space politics,Space science,1
Space Mythology & Religion,What is “astrokarma”?,Spiritual cause and effect related to stars,Space technology,Alien culture,Space law,1
category,question,option1,option2,option3,option4,correct_answer
Time Travel & Paradoxes,What is the “grandfather paradox”?,Killing your grandfather prevents your existence,Traveling to future,Changing past creates alternate reality,Infinite loop,1
Time Travel & Paradoxes,What is time dilation?,Time passing slower at high speeds,Time travel to past,Parallel universe effect,Instant time travel,1
Time Travel & Paradoxes,What is a causal loop?,Event causing itself in a cycle,Time travel device,Parallel timeline,Time freeze,1
Time Travel & Paradoxes,Which theory suggests multiple timelines?,Many-worlds interpretation,Relativity,Quantum mechanics,String theory,1
Time Travel & Paradoxes,What is the “butterfly effect”?,Small changes cause big future impact,Time freeze,Time travel,Parallel universe,1
Time Travel & Paradoxes,What is a “closed timelike curve”?,Path allowing time travel to past,Time freeze,Future travel,Alternate reality,1
Time Travel & Paradoxes,What does “chronology protection conjecture” suggest?,Time travel to past is impossible,Time travel to future is impossible,Multiple timelines exist,Time travel causes paradox,1
Time Travel & Paradoxes,What is a “temporal paradox”?,Contradiction from time travel,Time freeze,Future event,Parallel universe,1
Time Travel & Paradoxes,What is “retrocausality”?,Effect happening before cause,Normal causality,Future event,Parallel timeline,1
Time Travel & Paradozes,What device is often used in sci-fi for time travel?,Time machine,Spaceship,Quantum computer,Warp drive,1
Time Travel & Paradoxes,What is “wormhole” in time travel?,Shortcut through spacetime,Space station,Black hole,Alien portal,1
Time Travel & Paradoxes,What is the “bootstrap paradox”?,Object or info exists without origin,Causal loop,Time freeze,Alternate reality,1
Time Travel & Paradoxes,What is “time loop”?,Repeating the same period over and over,Instant travel,Future event,Alternate timeline,1
Time Travel & Paradoxes,What is the effect of traveling near light speed on time?,Slows down time,Speeds up time,Stops time,Reverses time,1
Time Travel & Paradoxes,What is “quantum tunneling”?,Particles passing barriers,Time travel method,Parallel universe creation,Energy transfer,1
Time Travel & Paradoxes,What is “time slip”?,Sudden jump in time,Time freeze,Time travel device,Time paradox,1
